,T1-Shot1,T1-Shot2,T1-Shot3,T1-Shot4,T1-Shot5,T2-Shot1,T3-Shot1,T3-Shot2,T3-Shot3,T3-Shot4,T3-Shot5,T4-Shot1,T4-Shot2,T4-Shot3,T4-Shot4,T4-Shot5,T5-Shot1,T5-Shot2,T5-Shot3,T5-Shot4,T5-Shot5
T1-Shot1,0.0,0.20789953553245233,0.26392215198620617,0.2832713497507111,0.38325063820788224,0.43957899023524755,0.5143247249910119,0.5107158065332668,0.5282537849048892,0.5808150391554439,0.43749501643789684,0.5278929591843269,0.44510601780257847,0.4167315273731019,0.4636466442098626,0.47222546253711656,0.43038540208802867,0.4178406002203768,0.5033926161261296,0.3595302170369441,0.4074886328682851
T1-Shot2,0.20789953553245233,0.0,0.1558412790335844,0.14057732256951178,0.3127560940545744,0.38449897304565694,0.32783581841746706,0.416644712010052,0.41258327442731224,0.4684240631670942,0.3060240307296322,0.31714419402903077,0.2991737663561944,0.3143908273644405,0.2813870355718835,0.29694671591194005,0.2675858193604095,0.29037793386220234,0.4239365444658663,0.2154845619851217,0.28686347108510496
T1-Shot3,0.26392215198620617,0.1558412790335844,0.0,0.08381244827744921,0.2355378262600225,0.36506742565263756,0.24630116200362076,0.37348152592356776,0.355420918896282,0.41452715426516556,0.2158381033667771,0.2511891456161357,0.24065595408012724,0.28891395333687175,0.2288367763649405,0.24063913224789374,0.20309088613619095,0.2461763171428719,0.45731564250171985,0.188156006847889,0.31367096646327214
T1-Shot4,0.2832713497507111,0.14057732256951178,0.08381244827744921,0.0,0.18018642473969937,0.36818113782627404,0.25707321215304774,0.3494674556442597,0.21126440293188453,0.29425937543077885,0.1944799933134901,0.25834961228772674,0.2590240561336717,0.2956647290760244,0.2777582306514394,0.2497596520942672,0.18743526548080497,0.2425411948406499,0.35798279523286763,0.21161269415225545,0.3039617981403778
T1-Shot5,0.38325063820788224,0.3127560940545744,0.2355378262600225,0.18018642473969937,0.0,0.38272748659634753,0.35897722916923924,0.3342729172392477,0.2073108800663377,0.23171556284978992,0.2434612806592505,0.3554948079743659,0.3451916231742799,0.364716643963691,0.3528118262609615,0.3467609495085282,0.27882966761113176,0.3448882605081971,0.3503617377228839,0.3039841429429457,0.35186607943175346
T2-Shot1,0.43957899023524755,0.38449897304565694,0.36506742565263756,0.36818113782627404,0.38272748659634753,0.0,0.5284016882149605,0.5127729378330587,0.4321475536746753,0.4964670295975117,0.35835762715344754,0.5350534240841625,0.5046502594599055,0.45846616562752157,0.5176096827106679,0.4462020913364153,0.3946173250760626,0.5121048195403567,0.5544478111414688,0.4556915603119093,0.45678515958050386
T3-Shot1,0.5143247249910119,0.32783581841746706,0.24630116200362076,0.25707321215304774,0.35897722916923924,0.5284016882149605,0.0,0.22006078939366303,0.22155016945965444,0.26640890716016546,0.2908309706305607,0.09957901107268549,0.10824704883916747,0.19844585350792057,0.22032931035579595,0.32635191302850725,0.3291531778600528,0.19273884573466987,0.40506915697167883,0.21977791233688532,0.18912496159880762
T3-Shot2,0.5107158065332668,0.416644712010052,0.37348152592356776,0.3494674556442597,0.3342729172392477,0.5127729378330587,0.22006078939366303,0.0,0.18384062258729114,0.11456237098188082,0.3892551185660582,0.27204256851497705,0.30437812078991816,0.24676275760988242,0.36962559864178957,0.458242636445194,0.4525569716039876,0.297408666986464,0.23630327512289417,0.3487415004376968,0.18100453501156946
T3-Shot3,0.5282537849048892,0.41258327442731224,0.355420918896282,0.21126440293188453,0.2073108800663377,0.4321475536746753,0.22155016945965444,0.18384062258729114,0.0,0.10800926703470402,0.256393583211966,0.2644585890241471,0.2995701336863377,0.32609178269136396,0.37903319089189474,0.3508626139101483,0.32982137654947064,0.30459089737696715,0.295135550236579,0.3481034000874989,0.28371971723992034
T3-Shot4,0.5808150391554439,0.4684240631670942,0.41452715426516556,0.29425937543077885,0.23171556284978992,0.4964670295975117,0.26640890716016546,0.11456237098188082,0.10800926703470402,0.0,0.30767458803392667,0.3061794939501766,0.3435562971971089,0.3308287011776435,0.40169620444786364,0.3976131582787609,0.3842221540255426,0.35192016298072976,0.22528758599794163,0.3792176231580408,0.3008026293423776
