,T1-Shot1,T1-Shot2,T1-Shot3,T1-Shot4,T1-Shot5,T2-Shot1,T2-Shot2,T2-Shot3,T2-Shot4,T2-Shot5,T3-Shot1,T3-Shot2,T3-Shot3,T3-Shot4,T3-Shot5,T4-Shot1,T4-Shot2,T4-Shot3,T4-Shot4,T4-Shot5,T5-Shot1,T5-Shot2,T5-Shot3,T5-Shot4,T5-Shot5
T1-Shot1,0.0,0.16019649588083545,0.23502287381354606,0.20565998996902543,0.2146667393815855,0.39430478887789483,0.1979581842875812,0.24015456340584768,0.25679412799250595,0.1999026795960528,0.2579023265592251,0.21392058197471467,0.24789806266266426,0.16596280944744712,0.4567827129355824,0.18998643543504845,0.19462418595614808,0.2129271374644745,0.2275649219699033,0.25834597796403175,0.5255105966539256,0.2919044246232358,0.2741904151124587,0.3052632213824926,0.2648558374954382
T1-Shot2,0.16019649588083545,0.0,0.29384947182895743,0.10254143487535122,0.16848096425963446,0.34509304700236126,0.14633230151411308,0.21638076015905186,0.2666584262084073,0.15582434136557016,0.26712441870617587,0.21763980476154896,0.2010084911297185,0.14436687595547668,0.41103093656591766,0.12537235024165655,0.18727349967101337,0.15474993458624553,0.11472785345929212,0.1841761072003394,0.5139878722067748,0.2300905013161842,0.26419992148739346,0.24792095512120527,0.26770326694943747
T1-Shot3,0.23502287381354606,0.29384947182895743,0.0,0.2852119075523045,0.2583092235085768,0.36183152007274966,0.30941727092390775,0.2364656701904746,0.26632836195620896,0.28921398300455486,0.3030582508105336,0.28990057928264834,0.30315966940029904,0.24295695185733843,0.5256373863242191,0.3422526769013094,0.31991370213948245,0.33377408328829766,0.35323137284671086,0.37636160392123963,0.41759494940545633,0.35364510994886644,0.3223146958337832,0.3577638374313964,0.3292458005232855
T1-Shot4,0.20565998996902543,0.10254143487535122,0.2852119075523045,0.0,0.13086639126458116,0.2837981480052106,0.12886572180160286,0.20505099676013058,0.25371203064316744,0.12993993568428322,0.2168378796239655,0.20748810566321974,0.17364451203998263,0.13583402123418975,0.382306614945451,0.14690916903444082,0.19726005206314157,0.18291859173291902,0.16289375292446906,0.26178718058230754,0.5459995362986167,0.302361028957433,0.2790019771070317,0.30173110661570773,0.3177140109481517
T1-Shot5,0.2146667393815855,0.16848096425963446,0.2583092235085768,0.13086639126458116,0.0,0.3354545635851305,0.17337567967933862,0.19024265701329723,0.3125678413038069,0.16698124796079042,0.19629065682627683,0.21156406311532855,0.2454714621746639,0.15592846724168155,0.4809574679439686,0.18667629682577364,0.2613270840319301,0.2325066387704316,0.22095038494685415,0.28711526973785745,0.5177282257792613,0.313633643519488,0.296036666640253,0.28910882263058874,0.34319638662495666
T2-Shot1,0.39430478887789483,0.34509304700236126,0.36183152007274966,0.2837981480052106,0.3354545635851305,0.0,0.32478190352989333,0.3535343279398678,0.2180021467980705,0.2884976739312198,0.3732839825468518,0.36703390145259396,0.37033990593084265,0.3563608825682135,0.30833335089984204,0.301040381724246,0.40936234525721105,0.36215744275829365,0.3696164209758397,0.4328488259644574,0.4591267394270548,0.3838867422246222,0.3712721915616405,0.39483651743349546,0.35271888050743394
T2-Shot2,0.1979581842875812,0.14633230151411308,0.30941727092390775,0.12886572180160286,0.17337567967933862,0.32478190352989333,0.0,0.14560642139143692,0.2525211940729364,0.12259800888421662,0.24957596795792064,0.2018395178848378,0.23953572038456425,0.1594373534676181,0.441200031213478,0.13541386995439028,0.20428366971464737,0.19047395146723153,0.1923782520235708,0.2760851848846955,0.581442232513754,0.34003979849872445,0.26052708338825337,0.33926432509539994,0.3432651879094968
T2-Shot3,0.24015456340584768,0.21638076015905186,0.2364656701904746,0.20505099676013058,0.19024265701329723,0.3535343279398678,0.14560642139143692,0.0,0.2799165010562131,0.15982809225258515,0.2518816238128417,0.23884733250067938,0.2808562934231602,0.19591813094930555,0.45448208293309406,0.18318141692968268,0.269993928018982,0.23312491925350776,0.26585606014923713,0.3285262585280249,0.4847681145406298,0.32747098926394275,0.26928101748612954,0.3254733154789464,0.30289754817992165
T2-Shot4,0.25679412799250595,0.2666584262084073,0.26632836195620896,0.25371203064316744,0.3125678413038069,0.2180021467980705,0.2525211940729364,0.2799165010562131,0.0,0.21147677886373886,0.2651962564764971,0.25634032120230804,0.25229086454387606,0.23533558093144746,0.39960577201850733,0.21513234460279518,0.20545761156923023,0.20224648937324027,0.23827279304804241,0.32988771627398883,0.5104549034902593,0.3585872087517732,0.37110520956357573,0.41206085422181676,0.41163659226850124
T2-Shot5,0.1999026795960528,0.15582434136557016,0.28921398300455486,0.12993993568428322,0.16698124796079042,0.2884976739312198,0.12259800888421662,0.15982809225258515,0.21147677886373886,0.0,0.1756440763658398,0.1371624933848734,0.20457370769552766,0.1358938117258715,0.38280278121948114,0.11019846847720674,0.18032547316944358,0.16687840530717282,0.18483480876700825,0.2695106367406886,0.4790367345963678,0.28642300701017476,0.28361340382763833,0.30822304396629846,0.30609500198883133
