,T1-Shot1,T1-Shot2,T1-Shot3,T1-Shot4,T1-Shot5,T2-Shot1,T2-Shot2,T2-Shot3,T2-Shot4,T2-Shot5,T3-Shot1,T3-Shot2,T3-Shot3,T3-Shot4,T3-Shot5,T4-Shot1,T4-Shot2,T4-Shot3,T4-Shot4,T4-Shot5,T5-Shot1,T5-Shot2,T5-Shot3,T5-Shot4,T5-Shot5
T1-Shot1,0.0,0.20290196060558277,0.3143597325418374,0.1847164164973734,0.2137538090985886,0.4486061318821278,0.14273073605134742,0.24798910720011877,0.3373198015149344,0.16423376317132643,0.1828455905824101,0.17971755165151368,0.27048010850900067,0.1731695118885532,0.4790990518265702,0.22738969788697194,0.24149800388547227,0.2623258052018463,0.3125678296785562,0.30724922813998246,0.5462526692691347,0.30070948239508855,0.23861499290404278,0.3378660983821682,0.24244185422914674
T1-Shot2,0.20290196060558277,0.0,0.41631223616417595,0.06853232096755907,0.1554935242930717,0.349038599253123,0.0829750389503803,0.20833333076406893,0.31512050849391526,0.1001089744120775,0.185976367009,0.16631448015382377,0.17282466485381295,0.12488117837228677,0.4000495908737022,0.09452718617933265,0.19761488203138777,0.15601929098955963,0.1454247300505318,0.18850958044105584,0.4895936813397024,0.21797098435895051,0.2361660466639512,0.27274548004779353,0.24573577376513323
T1-Shot3,0.3143597325418374,0.41631223616417595,0.0,0.40740074515060143,0.339583966253757,0.4615486916523557,0.3689428792799931,0.26510400708057696,0.32410213942738486,0.4042605283689972,0.3589233042728909,0.3606336570022087,0.4040290307401874,0.3377339146394314,0.6188254738191709,0.44198059949547175,0.4469760813458508,0.4624394836135228,0.510854632240478,0.47589245367149435,0.3679973598691146,0.4270816118394207,0.38648253488082135,0.45639446370704234,0.37434716741580526
T1-Shot4,0.1847164164973734,0.06853232096755907,0.40740074515060143,0.0,0.1412343709634857,0.31787260457872357,0.06258208303005215,0.1817536278642365,0.2562768462453448,0.05475599438458278,0.17568178628891196,0.16930527318647323,0.1361078775050475,0.10642547404105596,0.35379659676350744,0.05012132567325458,0.12799425897365174,0.11872499359703423,0.12983510837520063,0.2148558609070464,0.5209174421051908,0.26499568295252596,0.25761281519896395,0.288024301046532,0.2864795242273288
T1-Shot5,0.2137538090985886,0.1554935242930717,0.339583966253757,0.1412343709634857,0.0,0.4030637969530511,0.15628687705404407,0.22210089640823868,0.35233141128721457,0.14289880841369038,0.10895243789476794,0.1250033120485269,0.16665326142515194,0.11239539312599124,0.47049086553733255,0.1517435689506107,0.20410185073273762,0.19048969894234238,0.2051014172448191,0.23576891423146648,0.4628277984148186,0.2492924262713484,0.27073881509238257,0.25206344953118354,0.3249142833361881
T2-Shot1,0.4486061318821278,0.349038599253123,0.4615486916523557,0.31787260457872357,0.4030637969530511,0.0,0.36427046587016965,0.43773038409072895,0.20482133244195078,0.32758670986518934,0.4822691644102722,0.43985933020842716,0.4199275881893131,0.3863879423247939,0.2649400474672228,0.2944620638492521,0.451901770573363,0.41684603994261216,0.38987991987395215,0.42852860791101405,0.5139268118634988,0.43676925425804614,0.4393089073098905,0.4679275336298676,0.39544944911085966
T2-Shot2,0.14273073605134742,0.0829750389503803,0.3689428792799931,0.06258208303005215,0.15628687705404407,0.36427046587016965,0.0,0.18904673444621573,0.28557892588507133,0.07230496021548212,0.18866158903259908,0.13560118627133055,0.16367524546809495,0.09528737978803911,0.4027540190101426,0.09785954925393825,0.15060497135340734,0.14334724727439938,0.16543887805373766,0.22156879580679856,0.5268135237368788,0.26927034602716604,0.20075489660376328,0.28224056305793505,0.2626075119481616
T2-Shot3,0.24798910720011877,0.20833333076406893,0.26510400708057696,0.1817536278642365,0.22210089640823868,0.43773038409072895,0.18904673444621573,0.0,0.36223307574618047,0.19393252425607255,0.25261428309272865,0.2535512703377135,0.25639051074358865,0.18257068510880767,0.4418068880720693,0.20879003320436637,0.2766692463881897,0.22883136141840618,0.2970411587384733,0.3304215871673722,0.4169451009151066,0.30309082800416304,0.2552613566952581,0.29904449380192005,0.24619125864459107
T2-Shot4,0.3373198015149344,0.31512050849391526,0.32410213942738486,0.2562768462453448,0.35233141128721457,0.20482133244195078,0.28557892588507133,0.36223307574618047,0.0,0.2720718818374203,0.29395307177941543,0.3127511297759067,0.2720346635478428,0.26980100358138237,0.3752989364294075,0.2561231020140834,0.23685356441640856,0.25841454701771616,0.2933232097998709,0.37017628582147,0.5477733922126196,0.4046734297747991,0.3639831371694942,0.44371717672273553,0.4189568945796447
T2-Shot5,0.16423376317132643,0.1001089744120775,0.4042605283689972,0.05475599438458278,0.14289880841369038,0.32758670986518934,0.07230496021548212,0.19393252425607255,0.2720718818374203,0.0,0.18192772450949246,0.14097158691794745,0.17252822093763207,0.11813481281170339,0.37318909139295225,0.07268212701281726,0.12181636037181254,0.13144768765956633,0.17401025447823765,0.24353695571259232,0.5277314133777095,0.3134345703723283,0.23690831373100035,0.3101671297141012,0.27101901705375886
T3-Shot1,0.1828455905824101,0.185976367009,0.3589233042728909,0.17568178628891196,0.10895243789476794,0.4822691644102722,0.18866158903259908,0.25261428309272865,0.29395307177941543,0.18192772450949246,0.0,0.09426703601177977,0.15127414327523175,0.12136906605910018,0.5542925898048321,0.21478291947964073,0.17118096894386145,0.21072300969879293,0.22583931871884577,0.21084932332328085,0.471112758238537,0.2588932267002828,0.22040053002842364,0.2510245441488353,0.29054146647746004
T3-Shot2,0.17971755165151368,0.16631448015382377,0.3606336570022087,0.16930527318647323,0.1250033120485269,0.43985933020842716,0.13560118627133055,0.2535512703377135,0.3127511297759067,0.14097158691794745,0.09426703601177977,0.0,0.18223368359384381,0.10673364252177564,0.5108842622482267,0.20065744481677356,0.19882722610598544,0.18270541543591012,0.24252613962119673,0.23227817207979276,0.4935906817163619,0.2533789032183605,0.21597181094037404,0.2650686783564847,0.2878841263274877
T3-Shot3,0.27048010850900067,0.17282466485381295,0.4040290307401874,0.1361078775050475,0.16665326142515194,0.4199275881893131,0.16367524546809495,0.25639051074358865,0.2720346635478428,0.17252822093763207,0.15127414327523175,0.18223368359384381,0.0,0.12840262346798068,0.46928588480143585,0.13852680481273533,0.12086625814037018,0.16145889062256924,0.19970645333152284,0.20258474078841635,0.5453559614967325,0.2865095127126822,0.222778587071051,0.31437117268667353,0.3155541125091034
T3-Shot4,0.1731695118885532,0.12488117837228677,0.3377339146394314,0.10642547404105596,0.11239539312599124,0.3863879423247939,0.09528737978803911,0.18257068510880767,0.26980100358138237,0.11813481281170339,0.12136906605910018,0.10673364252177564,0.12840262346798068,0.0,0.44046868933680333,0.1299044035079387,0.16615768170819314,0.1646517525149914,0.1866002219077123,0.18073887420569867,0.5286859115141742,0.264375987391107,0.23198074136402852,0.2993087959756319,0.2651787470952608
