,T1-Shot1,T1-Shot2,T2-Shot1,T2-Shot2,T2-Shot3,T2-Shot4,T2-Shot5,T3-Shot1,T3-Shot2,T3-Shot3,T3-Shot4,T3-Shot5,T4-Shot1,T4-Shot2,T4-Shot3,T4-Shot4,T4-Shot5,T5-Shot1,T5-Shot2,T5-Shot3,T5-Shot4,T5-Shot5
T1-Shot1,0.0,0.403136968298323,0.3689872092455845,0.3404364528235193,0.3426712093142127,0.37135279043397307,0.4764956859807603,0.3707964747302579,0.3442147691301371,0.3359663820371928,0.3700545638462916,0.38135270429506873,0.4187099650069786,0.4471568375202477,0.359056105898627,0.3116491089010933,0.3896762897775984,0.349718210800284,0.4288274725452369,0.46129671095155417,0.41746856099340984,0.6379185176333335
T1-Shot2,0.403136968298323,0.0,0.37508538205706615,0.32219242976866247,0.2908512659001319,0.36954536814046346,0.3492405190651898,0.31185363269279276,0.3491465753287657,0.34154095403660995,0.39843814170459185,0.4336402892439902,0.37896535763705197,0.4446585188817597,0.3754073360810468,0.34466015030706665,0.3970245060888641,0.3707623901920706,0.4382284418370899,0.4655688588947493,0.4649279395169933,0.6040262809901699
T2-Shot1,0.3689872092455845,0.37508538205706615,0.0,0.1220861724832629,0.11359212577482397,0.12447122401911434,0.30212256631271384,0.11354430523436572,0.17447598725480756,0.1407559867532426,0.14275946742284312,0.21238025824438356,0.2771695251702739,0.19460041852002175,0.10465215925143179,0.14866681401353846,0.2040614038727972,0.2491976982298097,0.17286228367161413,0.15855607689095874,0.20827278297465132,0.37702220275914766
T2-Shot2,0.3404364528235193,0.32219242976866247,0.1220861724832629,0.0,0.09701903462953833,0.15993559667140173,0.2899999808391832,0.1541020133715422,0.14702435508860726,0.16700889937549646,0.20534358995467714,0.2653334877848184,0.32583705323320156,0.25835121028022096,0.1686134464297708,0.17537619160636647,0.23999101638113884,0.22831240711039977,0.1907974762064192,0.1840713897391501,0.22060894486153346,0.44884630799250785
T2-Shot3,0.3426712093142127,0.2908512659001319,0.11359212577482397,0.09701903462953833,0.0,0.1151738134667269,0.26819083262771126,0.1303750302757873,0.16212350607288917,0.1433602860755012,0.1877931827622154,0.2269774625188601,0.2705567793897739,0.22685710867144115,0.15381273736730605,0.17338539473487186,0.20791349977860474,0.24608322932054152,0.22098295167586457,0.21818952771509714,0.24600885135183834,0.4342875978111436
T2-Shot4,0.37135279043397307,0.36954536814046346,0.12447122401911434,0.15993559667140173,0.1151738134667269,0.0,0.31990937110154083,0.1216213867580303,0.16821510620329086,0.13753705644572112,0.13715091470838608,0.2162694591996776,0.23770851060739362,0.15753094172945947,0.12331613170922556,0.21266772975971715,0.21962053751533617,0.27402805650098416,0.23107347141995543,0.23690812189430555,0.2563339604814568,0.38465539486295575
T2-Shot5,0.4764956859807603,0.3492405190651898,0.30212256631271384,0.2899999808391832,0.26819083262771126,0.31990937110154083,0.0,0.2667208083578675,0.1764126869782706,0.2504064910035441,0.3723546280216097,0.41155751124643364,0.38594625835558,0.3652862593906223,0.26232760929410665,0.21195367854219954,0.2622218528448791,0.2717324632775803,0.31191669125371274,0.2898968466145246,0.36680528650864397,0.5072285843848889
T3-Shot1,0.3707964747302579,0.31185363269279276,0.11354430523436572,0.1541020133715422,0.1303750302757873,0.1216213867580303,0.2667208083578675,0.0,0.11694870337434647,0.10063506180261883,0.14761634188676148,0.2266774061486605,0.18416171430212266,0.17833661528584197,0.1254060252035403,0.1795801357764282,0.23397643864566683,0.1754334911066827,0.15610006228842596,0.17233877007467266,0.23165215231780445,0.399956108665221
T3-Shot2,0.3442147691301371,0.3491465753287657,0.17447598725480756,0.14702435508860726,0.16212350607288917,0.16821510620329086,0.1764126869782706,0.11694870337434647,0.0,0.12233284332701694,0.20943974549211675,0.245308757918007,0.3022202395495162,0.23146209775978058,0.1419262865030811,0.14883492750443802,0.2448340025506218,0.20409439601506854,0.18412115030457202,0.20634694548462262,0.23207109749746146,0.49804609708184905
T3-Shot3,0.3359663820371928,0.34154095403660995,0.1407559867532426,0.16700889937549646,0.1433602860755012,0.13753705644572112,0.2504064910035441,0.10063506180261883,0.12233284332701694,0.0,0.10683387460173857,0.16064496157143981,0.24885301470425292,0.15553415118247893,0.09681769373414754,0.1581421207164071,0.1872259479437922,0.2578054195635376,0.14006925951523838,0.16298701289192816,0.25241501086076196,0.43054758098367374
T3-Shot4,0.3700545638462916,0.39843814170459185,0.14275946742284312,0.20534358995467714,0.1877931827622154,0.13715091470838608,0.3723546280216097,0.14761634188676148,0.20943974549211675,0.10683387460173857,0.0,0.17891501340045401,0.25930032093971944,0.1714426197113793,0.12294414079351597,0.1833462901997179,0.16853295916170352,0.33887791455853666,0.21249765588750164,0.18555150534172635,0.29417549094893636,0.37406067521191494
T3-Shot5,0.38135270429506873,0.4336402892439902,0.21238025824438356,0.2653334877848184,0.2269774625188601,0.2162694591996776,0.41155751124643364,0.2266774061486605,0.245308757918007,0.16064496157143981,0.17891501340045401,0.0,0.27673539701679,0.2253148143702331,0.19962559675730412,0.2546477541497813,0.27220751097951745,0.31774440596698866,0.26763172421022224,0.25126336987865855,0.24856522545261311,0.42679090222591853
T4-Shot1,0.4187099650069786,0.37896535763705197,0.2771695251702739,0.32583705323320156,0.2705567793897739,0.23770851060739362,0.38594625835558,0.18416171430212266,0.3022202395495162,0.24885301470425292,0.25930032093971944,0.27673539701679,0.0,0.15343498280508636,0.2146587173674698,0.30939517467864797,0.26240172030538494,0.2827928490800976,0.3217111364423725,0.29157474248288606,0.3975597057092657,0.3568382777052182
