,T1-Shot1,T1-Shot2,T2-Shot1,T2-Shot2,T2-Shot3,T2-Shot4,T2-Shot5,T3-Shot1,T3-Shot2,T3-Shot3,T3-Shot4,T3-Shot5,T4-Shot1,T4-Shot2,T4-Shot3,T4-Shot4,T4-Shot5,T5-Shot1,T5-Shot2,T5-Shot3,T5-Shot4,T5-Shot5
T1-Shot1,0.0,0.5242799325272023,0.44361491679064574,0.392024762934642,0.43867144424493665,0.45581789022726416,0.6266393378633699,0.4816363244565803,0.4656591566484265,0.442745720712725,0.4891352093445848,0.5526747243669363,0.5197810854293805,0.547592415052232,0.4443900774482604,0.3704912935337056,0.47312142124987033,0.4010096924084168,0.47918324360613035,0.49328491197496505,0.5164560566314202,0.6546820735814968
T1-Shot2,0.5242799325272023,0.0,0.2936524832265615,0.22783236306700866,0.20058080960473862,0.32025776786521953,0.2969893993301421,0.2507128116625891,0.2951235696098727,0.3047898660338523,0.39284910708545195,0.47135393369725104,0.3001766981568911,0.42215240434228574,0.34153660816663234,0.2688365665870662,0.3249259930499571,0.3001267515159509,0.340432961888255,0.3724260632567655,0.3926761785647172,0.49813636990302257
T2-Shot1,0.44361491679064574,0.2936524832265615,0.0,0.09934368989131007,0.11051868393032742,0.07415530802875069,0.3225036690725678,0.10606404827103078,0.14408277058283028,0.15302369642414249,0.16449012935838064,0.2950064028353567,0.2849294108374708,0.1749498397841633,0.08393205659784561,0.13307010744774594,0.23379338685414833,0.27500154478238803,0.15283267507617465,0.16784795784117723,0.20055980530014353,0.37492852030296514
T2-Shot2,0.392024762934642,0.22783236306700866,0.09934368989131007,0.0,0.06573997624129545,0.131407165499171,0.2717790799345777,0.12213319881324075,0.1042690722303227,0.11672795816264925,0.20312748266608616,0.34627996587763893,0.2954338537053773,0.2003596559086735,0.11118584961458915,0.10689235715854975,0.20843454542113393,0.24941923878502278,0.1490108127784064,0.14224366132962796,0.23313496964269856,0.4267750292636648
T2-Shot3,0.43867144424493665,0.20058080960473862,0.11051868393032742,0.06573997624129545,0.0,0.11211550688316563,0.28510769536244435,0.1325934926523737,0.12037570544973884,0.10232259435557602,0.19511782264200836,0.3127343134492978,0.26494575807543785,0.18706996697701767,0.11456871033658943,0.12495392222422892,0.15181455764912,0.2713155581032717,0.17184798454007366,0.17098407347233482,0.26131286663576697,0.40478335058747866
T2-Shot4,0.45581789022726416,0.32025776786521953,0.07415530802875069,0.131407165499171,0.11211550688316563,0.0,0.3585768930033078,0.11514251751965296,0.17501383799933706,0.10289609472697231,0.11329774881528204,0.2723966619124097,0.2352013917488694,0.12696562807012124,0.08857521675844614,0.16821197262727333,0.2036378946838261,0.2987160101850624,0.16638659005397738,0.1731002270782414,0.26115766983273275,0.3433339426529178
T2-Shot5,0.6266393378633699,0.2969893993301421,0.3225036690725678,0.2717790799345777,0.28510769536244435,0.3585768930033078,0.0,0.3327513660459634,0.199285602908459,0.28895704261352995,0.41923400192161614,0.5240529387188176,0.4623606053798191,0.45205974757724676,0.2888341909888019,0.21162372751551503,0.21826847232811086,0.29472097195252683,0.2578385443198814,0.20022824492537522,0.3145041346901078,0.49226923777405257
T3-Shot1,0.4816363244565803,0.2507128116625891,0.10606404827103078,0.12213319881324075,0.1325934926523737,0.11514251751965296,0.3327513660459634,0.0,0.1098751020453519,0.07936149109949632,0.16123985103500182,0.2971169061176243,0.17630728431642817,0.17951356432342205,0.10991818540124328,0.16343306046979608,0.2401015055188511,0.15782480483999173,0.08566853169137657,0.10798432381636323,0.22360184155946625,0.3826491946561965
T3-Shot2,0.4656591566484265,0.2951235696098727,0.14408277058283028,0.1042690722303227,0.12037570544973884,0.17501383799933706,0.199285602908459,0.1098751020453519,0.0,0.1073184832521667,0.20740665577016634,0.3215137093103989,0.35390187108222837,0.23856935261437964,0.12938364033390193,0.10664436866781983,0.22612944295215837,0.20037705534253028,0.08607948420515305,0.10359955024419544,0.17437833091982335,0.4549677643219014
T3-Shot3,0.442745720712725,0.3047898660338523,0.15302369642414249,0.11672795816264925,0.10232259435557602,0.10289609472697231,0.28895704261352995,0.07936149109949632,0.1073184832521667,0.0,0.11616297464893978,0.22362197802174683,0.27518090851426374,0.14060853102542056,0.11231955355060827,0.17632297811107725,0.1852012280181166,0.2609293741377539,0.08127783213484092,0.09449224860217803,0.2348612985530535,0.38735189742033727
T3-Shot4,0.4891352093445848,0.39284910708545195,0.16449012935838064,0.20312748266608616,0.19511782264200836,0.11329774881528204,0.41923400192161614,0.16123985103500182,0.20740665577016634,0.11616297464893978,0.0,0.25195367211909736,0.2690325939061898,0.12057074777876665,0.12948900424169013,0.25021883476716344,0.20194097372241637,0.3833748203353258,0.19606641937361363,0.18369087313252241,0.3590640858656582,0.3235573137814799
T3-Shot5,0.5526747243669363,0.47135393369725104,0.2950064028353567,0.34627996587763893,0.3127343134492978,0.2723966619124097,0.5240529387188176,0.2971169061176243,0.3215137093103989,0.22362197802174683,0.25195367211909736,0.0,0.3303700690137849,0.22825748317804084,0.26564107351804084,0.3857385650357085,0.3445899862812347,0.3942235203167001,0.3026230770522227,0.27959521278871385,0.2840488384098809,0.4343178459063648
T4-Shot1,0.5197810854293805,0.3001766981568911,0.2849294108374708,0.2954338537053773,0.26494575807543785,0.2352013917488694,0.4623606053798191,0.17630728431642817,0.35390187108222837,0.27518090851426374,0.2690325939061898,0.3303700690137849,0.0,0.1680344341422694,0.23690623763885446,0.3339348008305312,0.33424813460657926,0.26066737014798486,0.3433677885543419,0.3091158890429019,0.46607322950921287,0.38609273848545356
T4-Shot2,0.547592415052232,0.42215240434228574,0.1749498397841633,0.2003596559086735,0.18706996697701767,0.12696562807012124,0.45205974757724676,0.17951356432342205,0.23856935261437964,0.14060853102542056,0.12057074777876665,0.22825748317804084,0.1680344341422694,0.0,0.13608241940380486,0.2671419803050084,0.23471343010375526,0.3809103789226605,0.2023749401518111,0.2676205725893681,0.34840540098210965,0.2585258432883746
T4-Shot3,0.4443900774482604,0.34153660816663234,0.08393205659784561,0.11118584961458915,0.11456871033658943,0.08857521675844614,0.2888341909888019,0.10991818540124328,0.12938364033390193,0.11231955355060827,0.12948900424169013,0.26564107351804084,0.23690623763885446,0.13608241940380486,0.0,0.16599378738850135,0.13055838036265696,0.26594142256033837,0.1159100583799666,0.09389566326386507,0.24197657934494032,0.3377152612480113
T4-Shot4,0.3704912935337056,0.2688365665870662,0.13307010744774594,0.10689235715854975,0.12495392222422892,0.16821197262727333,0.21162372751551503,0.16343306046979608,0.10664436866781983,0.17632297811107725,0.25021883476716344,0.3857385650357085,0.3339348008305312,0.2671419803050084,0.16599378738850135,0.0,0.2450340620923603,0.15634748514583555,0.1576796490996401,0.1819628462598852,0.2018996061217436,0.4772273418460611
T4-Shot5,0.47312142124987033,0.3249259930499571,0.23379338685414833,0.20843454542113393,0.15181455764912,0.2036378946838261,0.21826847232811086,0.2401015055188511,0.22612944295215837,0.1852012280181166,0.20194097372241637,0.3445899862812347,0.33424813460657926,0.23471343010375526,0.13055838036265696,0.2450340620923603,0.0,0.3392193523257381,0.2449254437265616,0.1647466936660324,0.36625251951061166,0.3810658899698223
T5-Shot1,0.4010096924084168,0.3001267515159509,0.27500154478238803,0.24941923878502278,0.2713155581032717,0.2987160101850624,0.29472097195252683,0.15782480483999173,0.20037705534253028,0.2609293741377539,0.3833748203353258,0.3942235203167001,0.26066737014798486,0.3809103789226605,0.26594142256033837,0.15634748514583555,0.3392193523257381,0.0,0.24715262387927991,0.2484910849000522,0.3179747837010543,0.5596010549323448
T5-Shot2,0.47918324360613035,0.340432961888255,0.15283267507617465,0.1490108127784064,0.17184798454007366,0.16638659005397738,0.2578385443198814,0.08566853169137657,0.08607948420515305,0.08127783213484092,0.19606641937361363,0.3026230770522227,0.3433677885543419,0.2023749401518111,0.1159100583799666,0.1576796490996401,0.2449254437265616,0.24715262387927991,0.0,0.08095934040741534,0.1829394165234193,0.41242198997308527
