,T1-Shot1,T1-Shot2,T1-Shot3,T1-Shot4,T1-Shot5,T2-Shot1,T2-Shot2,T2-Shot3,T3-Shot1,T3-Shot2,T3-Shot3,T3-Shot4,T3-Shot5,T4-Shot1,T4-Shot2,T4-Shot3,T4-Shot4,T4-Shot5,T5-Shot1,T5-Shot2,T5-Shot3,T5-Shot4,T5-Shot5
T1-Shot1,0.0,0.4007491434295769,0.40009369742947815,0.4132358734275529,0.3929254509351374,0.42076081113596436,0.39036340047975354,0.40390141825052767,0.6295874509321281,0.5240103887538725,0.6369140564527188,0.6650295109501846,0.6707999351384673,0.7315803355077453,0.6425686649296867,0.6524764041706264,0.6041236280317154,0.6356649501978515,0.6602396878419441,0.6669076480946718,0.6141533723464607,0.7209043454818047,0.5420629969011791
T1-Shot2,0.4007491434295769,0.0,0.07632626810692922,0.09026599218877002,0.1023725094453252,0.21544365895644207,0.10952848539048031,0.1822435530364317,0.36986457481214047,0.21891717815121353,0.3363486607119326,0.38113614138973895,0.3680326580558492,0.3948831084257009,0.34475692289314464,0.35022020003159493,0.3410112546063618,0.33227277230572944,0.3831110050471244,0.3645791246581192,0.32751222124003104,0.38958696463319076,0.29822072552628137
T1-Shot3,0.40009369742947815,0.07632626810692922,0.0,0.06397152600982713,0.09164325987879605,0.12062650696761452,0.10502674428839859,0.15796887703979984,0.3753040737492128,0.21867490929787367,0.33280367019523627,0.3389457755438412,0.33413713874252715,0.3904717607074535,0.3064730350732746,0.31279684936510865,0.3012504515698312,0.3225412533869056,0.3566556424300786,0.33124863914310343,0.30077124160029656,0.38964991827299494,0.27261954186819953
T1-Shot4,0.4132358734275529,0.09026599218877002,0.06397152600982713,0.0,0.05131659324325049,0.0977566418007541,0.06911522746203563,0.07643757866806727,0.331734684386642,0.23521568555375108,0.3114688443155296,0.3611916988802013,0.35324105812172535,0.35345639652452826,0.30103136801436975,0.29710908982023976,0.29337217080198585,0.29591716481629293,0.3317388336526734,0.33202844111123864,0.28576018312413826,0.37392678140447605,0.257529190726052
T1-Shot5,0.3929254509351374,0.1023725094453252,0.09164325987879605,0.05131659324325049,0.0,0.1413591437070041,0.05136062802468986,0.07070439464790622,0.35021243532860147,0.23384402170932767,0.3368905659826853,0.33090966036301417,0.33628724433618173,0.36829255342896955,0.2768495241295618,0.2779996560917495,0.27148037437266925,0.2883098700949567,0.3472663982028874,0.3180945452593625,0.261779282557849,0.3482190340717486,0.25236664821662635
T2-Shot1,0.42076081113596436,0.21544365895644207,0.12062650696761452,0.0977566418007541,0.1413591437070041,0.0,0.15747239784430114,0.1521949744431886,0.37310240438245557,0.2846927314056128,0.3519276524809525,0.3787754015895241,0.3785128014157973,0.4124895974645313,0.3458089348790553,0.3481838475717358,0.36462341351443317,0.36189010194911975,0.3841022190794167,0.3679763238475547,0.3440742740062599,0.40247522197302954,0.3186399913731129
T2-Shot2,0.39036340047975354,0.10952848539048031,0.10502674428839859,0.06911522746203563,0.05136062802468986,0.15747239784430114,0.0,0.06920310027310733,0.3119953050638982,0.21567811141248303,0.29221499733508133,0.2881818633475757,0.28380777733468143,0.3292822484743303,0.2555136299214586,0.25628778993631685,0.2557014776122455,0.25399869625978605,0.3272738475265929,0.2829280833220124,0.23580418331514652,0.31282165476846197,0.23840867739286922
T2-Shot3,0.40390141825052767,0.1822435530364317,0.15796887703979984,0.07643757866806727,0.07070439464790622,0.1521949744431886,0.06920310027310733,0.0,0.33410053793112415,0.24291558211047487,0.30750137261661126,0.3455118204134273,0.3499071100398626,0.390640929699098,0.30097227935982634,0.31518679897672947,0.31963490539038003,0.32879851647498004,0.37055362598604635,0.3438251802985238,0.30187476776371563,0.3844626545914442,0.292550391513743
T3-Shot1,0.6295874509321281,0.36986457481214047,0.3753040737492128,0.331734684386642,0.35021243532860147,0.37310240438245557,0.3119953050638982,0.33410053793112415,0.0,0.17780406541814955,0.13454575709758665,0.15953037701369255,0.1584826417492977,0.2282925211651335,0.14453841963819372,0.15525221372250098,0.17636906342189324,0.166002800264722,0.23998185096112998,0.1809677086315003,0.16039076841947633,0.2173918047693786,0.19713133784982137
T3-Shot2,0.5240103887538725,0.21891717815121353,0.21867490929787367,0.23521568555375108,0.23384402170932767,0.2846927314056128,0.21567811141248303,0.24291558211047487,0.17780406541814955,0.0,0.11545539706110011,0.11498100771628374,0.1386254443896228,0.19843898234136922,0.14639395073210432,0.14750472367471323,0.13495219489909277,0.1119810832839416,0.24633096320046866,0.12514087926545572,0.11917768195724822,0.1712252707767753,0.09045037934861784
T3-Shot3,0.6369140564527188,0.3363486607119326,0.33280367019523627,0.3114688443155296,0.3368905659826853,0.3519276524809525,0.29221499733508133,0.30750137261661126,0.13454575709758665,0.11545539706110011,0.0,0.10791381442016765,0.11768315693577813,0.13901463381984813,0.14796149910907722,0.15014455237081975,0.14295205521325544,0.119029002612783,0.1888609155337397,0.1340006079248969,0.1214614294939634,0.16957718586646836,0.116803633751351
T3-Shot4,0.6650295109501846,0.38113614138973895,0.3389457755438412,0.3611916988802013,0.33090966036301417,0.3787754015895241,0.2881818633475757,0.3455118204134273,0.15953037701369255,0.11498100771628374,0.10791381442016765,0.0,0.02190723778620586,0.18658296866656568,0.09299483880716387,0.08135746732123648,0.06170941689635698,0.0677613952269537,0.2442217239385629,0.043427849224849296,0.06864071967641877,0.12500023435767305,0.08932855021952585
T3-Shot5,0.6707999351384673,0.3680326580558492,0.33413713874252715,0.35324105812172535,0.33628724433618173,0.3785128014157973,0.28380777733468143,0.3499071100398626,0.1584826417492977,0.1386254443896228,0.11768315693577813,0.02190723778620586,0.0,0.1840990725130981,0.09898383749589221,0.08770539417201215,0.07513362068950163,0.06940924075682808,0.2472740426147827,0.05664583417140596,0.08009260853953373,0.1250529769052174,0.09540431841512802
T4-Shot1,0.7315803355077453,0.3948831084257009,0.3904717607074535,0.35345639652452826,0.36829255342896955,0.4124895974645313,0.3292822484743303,0.390640929699098,0.2282925211651335,0.19843898234136922,0.13901463381984813,0.18658296866656568,0.1840990725130981,0.0,0.1747651991281241,0.17407834427006563,0.16766528770939762,0.13100448211637883,0.17424300934955728,0.1782402632835076,0.15548127043006488,0.08233782071076001,0.1367359678806951
T4-Shot2,0.6425686649296867,0.34475692289314464,0.3064730350732746,0.30103136801436975,0.2768495241295618,0.3458089348790553,0.2555136299214586,0.30097227935982634,0.14453841963819372,0.14639395073210432,0.14796149910907722,0.09299483880716387,0.09898383749589221,0.1747651991281241,0.0,0.03003663441173034,0.050709268828536935,0.058777213973838074,0.27558649862557494,0.062294376571035176,0.036479845372486275,0.11603941289804737,0.08903393873444132
T4-Shot3,0.6524764041706264,0.35022020003159493,0.31279684936510865,0.29710908982023976,0.2779996560917495,0.3481838475717358,0.25628778993631685,0.31518679897672947,0.15525221372250098,0.14750472367471323,0.15014455237081975,0.08135746732123648,0.08770539417201215,0.17407834427006563,0.03003663441173034,0.0,0.02979602918810573,0.05854239408065323,0.28632362470359984,0.05276741591745343,0.040881608212424106,0.11902131306849162,0.08686166675719421
T4-Shot4,0.6041236280317154,0.3410112546063618,0.3012504515698312,0.29337217080198585,0.27148037437266925,0.36462341351443317,0.2557014776122455,0.31963490539038003,0.17636906342189324,0.13495219489909277,0.14295205521325544,0.06170941689635698,0.07513362068950163,0.16766528770939762,0.050709268828536935,0.02979602918810573,0.0,0.05697454898588598,0.275425447237477,0.03532719400935385,0.037014931590624106,0.11035136788734196,0.08075684696745368
T4-Shot5,0.6356649501978515,0.33227277230572944,0.3225412533869056,0.29591716481629293,0.2883098700949567,0.36189010194911975,0.25399869625978605,0.32879851647498004,0.166002800264722,0.1119810832839416,0.119029002612783,0.0677613952269537,0.06940924075682808,0.13100448211637883,0.058777213973838074,0.05854239408065323,0.05697454898588598,0.0,0.24593253863561784,0.0581822325442583,0.036653384731449114,0.0833867763328941,0.045206224697128664
