,T1-Shot1,T1-Shot2,T1-Shot3,T2-Shot1,T2-Shot2,T2-Shot3,T2-Shot4,T2-Shot5,T3-Shot1,T3-Shot2,T3-Shot3,T3-Shot4,T3-Shot5,T4-Shot1,T4-Shot2,T4-Shot3,T4-Shot4,T4-Shot5,T5-Shot1,T5-Shot2,T5-Shot3,T5-Shot4,T5-Shot5
T1-Shot1,0.0,0.28147363049814117,0.3362778143937677,0.2988947858600785,0.1960656431995168,0.2125758872317532,0.29962161839694434,0.2450944308860446,0.28962522719161915,0.31050671490062026,0.2976871666506186,0.36958373401653843,0.191260598362588,0.3282766674334594,0.24400937133904602,0.2568264820967289,0.2533162367580364,0.4182796958673803,0.32624774359345016,0.25620128556808947,0.2667053757701965,0.2724553192355789,0.3150777079468139
T1-Shot2,0.28147363049814117,0.0,0.17653369380157233,0.39664244702647017,0.27227347461199025,0.27307139880750664,0.18707483754214282,0.21572470167462082,0.310815802254628,0.25477276233537904,0.32277619346629444,0.18764845639363803,0.2334853906025887,0.367510041562817,0.3021516686122403,0.2962590590102677,0.2575932502153544,0.3383350000982677,0.24103144187263295,0.24203229299392565,0.22984915521939703,0.15703318724245036,0.1766349430608149
T1-Shot3,0.3362778143937677,0.17653369380157233,0.0,0.45138250634953686,0.3807554259817714,0.2782666255817639,0.2463588873921419,0.23541056524516465,0.2914338426520087,0.24776897553888308,0.3201787424552254,0.2293516174242014,0.28444015497333125,0.42275575427823875,0.31318543148792033,0.3191696177151834,0.26752339766535793,0.3800859581616598,0.27615733207028076,0.28435885391019466,0.2812104929329059,0.12747223081294956,0.18996347562278143
T2-Shot1,0.2988947858600785,0.39664244702647017,0.45138250634953686,0.0,0.23176521306271297,0.27114181337294246,0.30028278542697123,0.2878980068993785,0.3233587558294277,0.40594744935642757,0.23228701178909963,0.4345937893679039,0.24693228736522763,0.4486582005565023,0.31962775133617033,0.37415240362318114,0.3604273880816544,0.5260530656304039,0.31506695647291516,0.28552719385046804,0.3850857119442173,0.4581777124968338,0.35487256019609487
T2-Shot2,0.1960656431995168,0.27227347461199025,0.3807554259817714,0.23176521306271297,0.0,0.1612417572809297,0.15760545535826512,0.228604480000905,0.2805578121036171,0.3044103978526975,0.250662227266538,0.3024322158457735,0.18782676534334963,0.26387150724305863,0.20326753363450123,0.2710721465495881,0.30610068346744806,0.37194001774376334,0.24073793624945022,0.21005459699593965,0.22832981917632778,0.3361721339429582,0.24966746326568925
T2-Shot3,0.2125758872317532,0.27307139880750664,0.2782666255817639,0.27114181337294246,0.1612417572809297,0.0,0.19157672232588097,0.16853401343613106,0.17702343004217508,0.28372615447466004,0.20217011756379186,0.2643594649982174,0.11862370588639425,0.3365931612305295,0.19525135311885491,0.24684392903599509,0.25953438054014316,0.4252223616756579,0.21431801630892375,0.2158287413773079,0.23479824759628365,0.2705415756875291,0.21725230144899615
T2-Shot4,0.29962161839694434,0.18707483754214282,0.2463588873921419,0.30028278542697123,0.15760545535826512,0.19157672232588097,0.0,0.1780552911466766,0.28860732163121255,0.1986362697779963,0.25216062238061343,0.18825374665429073,0.2398898387710434,0.2249913899689824,0.18335745390799985,0.18630520711484488,0.23514723728411027,0.2394071976186355,0.15024992641653648,0.15170651343313704,0.1310606104196153,0.20437427808474112,0.16733543952467964
T2-Shot5,0.2450944308860446,0.21572470167462082,0.23541056524516465,0.2878980068993785,0.228604480000905,0.16853401343613106,0.1780552911466766,0.0,0.19389941479324285,0.23734749195072602,0.24482653781535527,0.2140959849968966,0.15236025518349475,0.3432974742587355,0.2458296991714193,0.2669470279214697,0.21647472803342685,0.34300397445298764,0.20482084641158044,0.2423294696230167,0.24092032830155327,0.2052210787555953,0.19859626027984068
T3-Shot1,0.28962522719161915,0.310815802254628,0.2914338426520087,0.3233587558294277,0.2805578121036171,0.17702343004217508,0.28860732163121255,0.19389941479324285,0.0,0.35345795797869317,0.25275064828986826,0.3132179805506754,0.16408447675673574,0.43953747129898457,0.32323965739550903,0.3713897781161701,0.30431963419014757,0.4845696415390446,0.3373104830113314,0.31842153346666957,0.34398797119476504,0.3369436677079813,0.2829209395434346
T3-Shot2,0.31050671490062026,0.25477276233537904,0.24776897553888308,0.40594744935642757,0.3044103978526975,0.28372615447466004,0.1986362697779963,0.23734749195072602,0.35345795797869317,0.0,0.35400948946879285,0.19140246793192395,0.2904733624032605,0.3686420285925409,0.3605309144286823,0.2943309782757287,0.11683267525349146,0.23305872850415532,0.19674439148301637,0.1690274917626471,0.20609061285254515,0.21741409431725406,0.26074142337143885
T3-Shot3,0.2976871666506186,0.32277619346629444,0.3201787424552254,0.23228701178909963,0.250662227266538,0.20217011756379186,0.25216062238061343,0.24482653781535527,0.25275064828986826,0.35400948946879285,0.0,0.41378325881496153,0.16492387413661047,0.3444722962518423,0.21832902831089443,0.2681743231176203,0.28429098649261225,0.4977183675144571,0.17756570636048336,0.18125521089482985,0.28343005102339763,0.37767375749138965,0.2916096210838943
T3-Shot4,0.36958373401653843,0.18764845639363803,0.2293516174242014,0.4345937893679039,0.3024322158457735,0.2643594649982174,0.18825374665429073,0.2140959849968966,0.3132179805506754,0.19140246793192395,0.41378325881496153,0.0,0.29331664942600105,0.41592601676600127,0.3920390290561067,0.33327529257299954,0.20558880397947435,0.28586310973681134,0.2757565066824868,0.2671027821372547,0.258861677235523,0.2461909220080215,0.21212764983248586
T3-Shot5,0.191260598362588,0.2334853906025887,0.28444015497333125,0.24693228736522763,0.18782676534334963,0.11862370588639425,0.2398898387710434,0.15236025518349475,0.16408447675673574,0.2904733624032605,0.16492387413661047,0.29331664942600105,0.0,0.34055682702344103,0.20798643797826358,0.2277719693356023,0.2535511282569207,0.38594188467151136,0.23838601767609693,0.23618908437550237,0.24311584394082633,0.3006977099560213,0.2317944430053466
T4-Shot1,0.3282766674334594,0.367510041562817,0.42275575427823875,0.4486582005565023,0.26387150724305863,0.3365931612305295,0.2249913899689824,0.3432974742587355,0.43953747129898457,0.3686420285925409,0.3444722962518423,0.41592601676600127,0.34055682702344103,0.0,0.18905629856721695,0.17196278628079384,0.28010416076410055,0.20436779680332917,0.29618039402717933,0.26060812164563685,0.20985554895358532,0.3865224971706464,0.3402739805011942
T4-Shot2,0.24400937133904602,0.3021516686122403,0.31318543148792033,0.31962775133617033,0.20326753363450123,0.19525135311885491,0.18335745390799985,0.2458296991714193,0.32323965739550903,0.3605309144286823,0.21832902831089443,0.3920390290561067,0.20798643797826358,0.18905629856721695,0.0,0.10467325038124611,0.26071247104453305,0.3685355002364519,0.17128884922780888,0.1622676345053854,0.155485839857393,0.2869666289347253,0.25076660065041995
T4-Shot3,0.2568264820967289,0.2962590590102677,0.3191696177151834,0.37415240362318114,0.2710721465495881,0.24684392903599509,0.18630520711484488,0.2669470279214697,0.3713897781161701,0.2943309782757287,0.2681743231176203,0.33327529257299954,0.2277719693356023,0.17196278628079384,0.10467325038124611,0.0,0.23199908029032323,0.27588998286961935,0.20787246715982258,0.16553360454617416,0.143510366770413,0.31417954177373175,0.2628241533584736
T4-Shot4,0.2533162367580364,0.2575932502153544,0.26752339766535793,0.3604273880816544,0.30610068346744806,0.25953438054014316,0.23514723728411027,0.21647472803342685,0.30431963419014757,0.11683267525349146,0.28429098649261225,0.20558880397947435,0.2535511282569207,0.28010416076410055,0.26071247104453305,0.23199908029032323,0.0,0.23646023245258865,0.18862108334854052,0.12186901788495044,0.14944875864818127,0.25083786919152895,0.20923982598706037
T4-Shot5,0.4182796958673803,0.3383350000982677,0.3800859581616598,0.5260530656304039,0.37194001774376334,0.4252223616756579,0.2394071976186355,0.34300397445298764,0.4845696415390446,0.23305872850415532,0.4977183675144571,0.28586310973681134,0.38594188467151136,0.20436779680332917,0.3685355002364519,0.27588998286961935,0.23646023245258865,0.0,0.30530263064398033,0.2810304483106974,0.2486010062863242,0.3156066897586125,0.3437364238245245
T5-Shot1,0.32624774359345016,0.24103144187263295,0.27615733207028076,0.31506695647291516,0.24073793624945022,0.21431801630892375,0.15024992641653648,0.20482084641158044,0.3373104830113314,0.19674439148301637,0.17756570636048336,0.2757565066824868,0.23838601767609693,0.29618039402717933,0.17128884922780888,0.20787246715982258,0.18862108334854052,0.30530263064398033,0.0,0.13201013593233635,0.17260549483283916,0.22535769167598152,0.17224303906873928
T5-Shot2,0.25620128556808947,0.24203229299392565,0.28435885391019466,0.28552719385046804,0.21005459699593965,0.2158287413773079,0.15170651343313704,0.2423294696230167,0.31842153346666957,0.1690274917626471,0.18125521089482985,0.2671027821372547,0.23618908437550237,0.26060812164563685,0.1622676345053854,0.16553360454617416,0.12186901788495044,0.2810304483106974,0.13201013593233635,0.0,0.11119614805824887,0.257089120105095,0.21325717601511476
T5-Shot3,0.2667053757701965,0.22984915521939703,0.2812104929329059,0.3850857119442173,0.22832981917632778,0.23479824759628365,0.1310606104196153,0.24092032830155327,0.34398797119476504,0.20609061285254515,0.28343005102339763,0.258861677235523,0.24311584394082633,0.20985554895358532,0.155485839857393,0.143510366770413,0.14944875864818127,0.2486010062863242,0.17260549483283916,0.11119614805824887,0.0,0.23207717098213054,0.19516477873359042
T5-Shot4,0.2724553192355789,0.15703318724245036,0.12747223081294956,0.4581777124968338,0.3361721339429582,0.2705415756875291,0.20437427808474112,0.2052210787555953,0.3369436677079813,0.21741409431725406,0.37767375749138965,0.2461909220080215,0.3006977099560213,0.3865224971706464,0.2869666289347253,0.31417954177373175,0.25083786919152895,0.3156066897586125,0.22535769167598152,0.257089120105095,0.23207717098213054,0.0,0.1758630942185843
T5-Shot5,0.3150777079468139,0.1766349430608149,0.18996347562278143,0.35487256019609487,0.24966746326568925,0.21725230144899615,0.16733543952467964,0.19859626027984068,0.2829209395434346,0.26074142337143885,0.2916096210838943,0.21212764983248586,0.2317944430053466,0.3402739805011942,0.25076660065041995,0.2628241533584736,0.20923982598706037,0.3437364238245245,0.17224303906873928,0.21325717601511476,0.19516477873359042,0.1758630942185843,0.0
