,T1-Shot1,T1-Shot2,T1-Shot3,T1-Shot4,T1-Shot5,T2-Shot1,T2-Shot2,T2-Shot3,T2-Shot4,T2-Shot5,T3-Shot1,T3-Shot2,T3-Shot3,T3-Shot4,T3-Shot5,T4-Shot1,T4-Shot2,T4-Shot3,T4-Shot4,T4-Shot5,T5-Shot1
T1-Shot1,0.0,0.2623495483389888,0.11466435663508036,0.19730573430702725,0.3287415393786902,0.3450843957306265,0.2335003914125004,0.2403071935572641,0.27524669034031,0.3374287394620197,0.21913508720608024,0.18268283345113262,0.3845591036985246,0.34015745509405915,0.2967613212222242,0.3540304117561148,0.38759877525640263,0.420256109718904,0.43689134749021935,0.3259964959604212,0.3273633586696977
T1-Shot2,0.2623495483389888,0.0,0.3106314841683368,0.1936954224967836,0.2788638354181288,0.2271660822983143,0.36327920984702633,0.34842168066669815,0.15031080904322505,0.301452332689618,0.21858367205027907,0.3201343491841655,0.3329455552385932,0.33048184021473115,0.47116743573479997,0.4940077271746831,0.35847329193501876,0.4105222253224377,0.3400100717486959,0.40932968062770536,0.222415462036615
T1-Shot3,0.11466435663508036,0.3106314841683368,0.0,0.19770404487756355,0.3620579238076902,0.380048786093109,0.20680967669453404,0.21213643107938374,0.25174278899249114,0.2981840064368802,0.21964613588826992,0.12612194007796151,0.30310589553960793,0.2812653055185651,0.2821916026311222,0.2828391144166091,0.3318489373489224,0.3718106975804725,0.3553092983297988,0.2581913452702829,0.3303926232070196
T1-Shot4,0.19730573430702725,0.1936954224967836,0.19770404487756355,0.0,0.2580335975037926,0.21705263662661514,0.29315371707203214,0.29039858261479295,0.10422267106062305,0.22447955526919147,0.11427527644815053,0.24725614967436055,0.2765632876172114,0.23900040480060555,0.3902671076577876,0.42249333687662816,0.2828880774920328,0.4392559393662988,0.2997231483920524,0.40940792453845715,0.20003299977788455
T1-Shot5,0.3287415393786902,0.2788638354181288,0.3620579238076902,0.2580335975037926,0.0,0.3612417445619504,0.24921564297316826,0.2736897214294335,0.31306925815478603,0.16230263759087893,0.19756470205991963,0.4165501639299021,0.24422062813243756,0.29638529673157454,0.4612053832039438,0.532621763548647,0.35819649885721616,0.41314330285290085,0.37303934196550187,0.5267264390148012,0.29645844990542375
T2-Shot1,0.3450843957306265,0.2271660822983143,0.380048786093109,0.21705263662661514,0.3612417445619504,0.0,0.4116293945338958,0.37722984297434076,0.18538656615300678,0.3528918401799258,0.2683737400831651,0.4128113943681568,0.3956930842417911,0.40080596635102217,0.593583011431741,0.5814160941035913,0.5025574068037186,0.5343056646161548,0.49535236293610385,0.5534872715299434,0.2296605165676021
T2-Shot2,0.2335003914125004,0.36327920984702633,0.20680967669453404,0.29315371707203214,0.24921564297316826,0.4116293945338958,0.0,0.10871465460677548,0.29908966113407964,0.22409084376305907,0.3267306981414674,0.2617013424518194,0.23392325907296,0.4447490336777295,0.4143198877231877,0.3964952451911321,0.468947365375812,0.545678386481415,0.4370563582003283,0.3361953943265608,0.3488443988565735
T2-Shot3,0.2403071935572641,0.34842168066669815,0.21213643107938374,0.29039858261479295,0.2736897214294335,0.37722984297434076,0.10871465460677548,0.0,0.27031727828250546,0.18480193471326425,0.3267094257454918,0.25389018415853,0.20817354539365676,0.41803074818552177,0.3860384907229358,0.37363624628171765,0.4464819006352423,0.54829874641598,0.4038839213089698,0.2982235309975131,0.3560990436708879
T2-Shot4,0.27524669034031,0.15031080904322505,0.25174278899249114,0.10422267106062305,0.31306925815478603,0.18538656615300678,0.29908966113407964,0.27031727828250546,0.0,0.2458831733729195,0.20546081670128727,0.2580915910756131,0.2639932930816757,0.28419273973248843,0.3851029384657736,0.432720388360284,0.2950505565812373,0.3488191390936668,0.29432432248896623,0.3256753252333031,0.1931088994405523
T2-Shot5,0.3374287394620197,0.301452332689618,0.2981840064368802,0.22447955526919147,0.16230263759087893,0.3528918401799258,0.22409084376305907,0.18480193471326425,0.2458831733729195,0.0,0.22302248243141268,0.31630344066538457,0.11255760960395615,0.28193573051069937,0.42271852047415526,0.4970990686746643,0.30519405632047564,0.38533585816730115,0.3120814598026605,0.4540731512550933,0.2680639598360243
T3-Shot1,0.21913508720608024,0.21858367205027907,0.21964613588826992,0.11427527644815053,0.19756470205991963,0.2683737400831651,0.3267306981414674,0.3267094257454918,0.20546081670128727,0.22302248243141268,0.0,0.2894509817966922,0.2831962638724513,0.15872406228760097,0.38596569334026437,0.44362465868281864,0.2597433709585974,0.2794471467996257,0.2994499635248247,0.47824319958028777,0.2207404018135435
