pid,trial,actual,predicted,prob,top_feature,top_shap
P004,21,accept,accept,0.6051579932842935,mean_eeg_af7_post,0.08989665070012051
P001,23,accept,accept,0.5234982879725889,mean_eeg_af7_post,0.06914828068261158
P005,2,accept,reject,0.40813297014372585,mean_eeg_tp10_post,0.06945239397155092
P005,3,reject,reject,0.3182545851863343,lf_hf_baseline,-0.05785143951088685
P001,1,accept,accept,0.5264922439889688,mean_eeg_tp10_post,0.08261861858518386
P003,3,reject,reject,0.2754308569495361,mean_eeg_tp9_post,-0.050038616357278444
P003,17,accept,accept,0.5677904314924545,mean_eeg_af7_post,0.07972824778153154
P003,19,accept,accept,0.5577492369750188,mean_eeg_af7_post,0.05143026586174528
P001,11,reject,reject,0.30904835445294315,frontal_asymmetry,0.07250093308339274
P003,22,accept,accept,0.5003424041859548,mean_eeg_tp10_post,0.0608258593060782
